Subject,Sex,Age,Group,Running,Sample,Cue,Target,Acc,RT,Resp,Condition,WordType
1,female,18,Recognition,PracticeStudy,1,infandous,horrible,NA,NA,NA,NA,NA
1,female,18,Recognition,PracticeStudy,2,desman,mole,NA,NA,NA,NA,NA
1,female,18,Recognition,PracticeStudy,3,leggiadrous,elegant,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,1,peculate,embezzle,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,2,frond,leaf,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,3,roke,mist,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,4,subduce,withdraw,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,5,effulgent,shining,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,6,roil,billow,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,7,stanchion,support,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,8,intractable,unmanageable,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,9,limpid,clear,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,10,immure,imprison,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,11,subvention,grant,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,12,sprauncy,smart,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,13,stentorian,loud,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,14,inculcate,instil,NA,NA,NA,NA,NA
1,female,18,Recognition,Study,15,recondite,hidden,NA,NA,NA,NA,NA
1,female,18,Recognition,PracticeMeaning,1,gadoid,fish,0,0,,NA,NA
1,female,18,Recognition,PracticeMeaning,2,achene,fruit,0,0,,NA,NA
1,female,18,Recognition,PracticeMeaning,3,zamindar,landlord,0,4620,coat,NA,NA
1,female,18,Recognition,Meaning,1,rebarbative,repellent,0,4349,speak,NA,NA
1,female,18,Recognition,Meaning,2,lassitude,tiredness,0,5590,height,NA,NA
1,female,18,Recognition,Meaning,3,succursal,branch,0,5204,smooth,NA,NA
1,female,18,Recognition,Meaning,4,subluxation,dislocation,0,7196,relax,NA,NA
1,female,18,Recognition,Meaning,5,perpend,consider,0,6435,bend,NA,NA
1,female,18,Recognition,Meaning,6,trammel,impede,0,4207,hit,NA,NA
1,female,18,Recognition,Meaning,7,renitent,resistant,0,6435,consistent,NA,NA
1,female,18,Recognition,Meaning,8,sodality,fellowship,0,7085,soft,NA,NA
1,female,18,Recognition,Meaning,9,esculent,edible,0,4431,quick,NA,NA
1,female,18,Recognition,Meaning,10,opprobrium,disgrace,0,7481,nice,NA,NA
1,female,18,Recognition,Meaning,11,blandish,flatter,0,4584,dull,NA,NA
1,female,18,Recognition,Meaning,12,superate,overcome,0,5162,seperate,NA,NA
1,female,18,Recognition,Meaning,13,orotund,pompous,0,4609,round,NA,NA
1,female,18,Recognition,Meaning,14,inimical,hostile,0,7624,insignificant,NA,NA
1,female,18,Recognition,Meaning,15,imprecation,curse,0,7263,implication,NA,NA
1,female,18,Recognition,PracticeFirstWord,1,droze,drip,0,4323,doze,NA,NA
1,female,18,Recognition,PracticeFirstWord,2,carcanet,necklace,0,5303,crash,NA,NA
1,female,18,Recognition,PracticeFirstWord,3,tantivy,quick,0,7454,ant,NA,NA
1,female,18,Recognition,First Word,1,compendious,concise,0,4880,stupid,NA,NA
1,female,18,Recognition,First Word,2,abjure,reject,0,4102,adjorn,NA,NA
1,female,18,Recognition,First Word,3,mendicant,beggar,0,6503,mischevious,NA,NA
1,female,18,Recognition,First Word,4,spoffish,fussy,0,6276,uptight,NA,NA
1,female,18,Recognition,First Word,5,descry,discover,0,4667,sadness,NA,NA
1,female,18,Recognition,First Word,6,recreant,surrendering,0,5864,creativeness,NA,NA
1,female,18,Recognition,First Word,7,threnody,lament,0,5334,science,NA,NA
1,female,18,Recognition,First Word,8,spoliate,plunder,0,5566,spoilt,NA,NA
1,female,18,Recognition,First Word,9,slake,quench,0,4468,snake,NA,NA
1,female,18,Recognition,First Word,10,tyro,beginner,0,3751,car,NA,NA
1,female,18,Recognition,First Word,11,encomium,tribute,0,5524,encompass,NA,NA
1,female,18,Recognition,First Word,12,stolid,unemotional,0,6503,stool,NA,NA
1,female,18,Recognition,First Word,13,sententious,moralising,0,4555,posh,NA,NA
1,female,18,Recognition,First Word,14,maunder,ramble,0,6676,wander,NA,NA
1,female,18,Recognition,First Word,15,gossamer,flimsy,0,5398,gossiper,NA,NA
1,female,18,Recognition,RecognitionPractice,1,necklace,NA,1,3432,NA,firstword,Target
1,female,18,Recognition,RecognitionPractice,2,gadoid,NA,1,2858,NA,meaning,Cue
1,female,18,Recognition,RecognitionPractice,3,fish,NA,1,2552,NA,meaning,Target
1,female,18,Recognition,RecognitionPractice,4,zamindar,NA,1,2940,NA,meaning,Cue
1,female,18,Recognition,RecognitionPractice,5,infandous,NA,1,3121,NA,Study,Cue
1,female,18,Recognition,RecognitionPractice,6,drip,NA,0,3850,NA,firstword,Target
1,female,18,Recognition,Recognition,1,discover,NA,0,4462,NA,First Word,Target
1,female,18,Recognition,Recognition,2,moralising,NA,0,2789,NA,First Word,Target
1,female,18,Recognition,Recognition,3,mist,NA,1,1822,NA,Study,Target
1,female,18,Recognition,Recognition,4,renitent,NA,0,3930,NA,Meaning,Cue
1,female,18,Recognition,Recognition,5,flimsy,NA,1,1731,NA,First Word,Target
1,female,18,Recognition,Recognition,6,quench,NA,1,1250,NA,First Word,Target
1,female,18,Recognition,Recognition,7,threatening,NA,1,2513,NA,Foil,Target
1,female,18,Recognition,Recognition,8,surquedry,NA,1,4044,NA,Foil,Cue
1,female,18,Recognition,Recognition,9,effulgent,NA,1,1948,NA,Study,Cue
1,female,18,Recognition,Recognition,10,consider,NA,1,2116,NA,Meaning,Target
1,female,18,Recognition,Recognition,11,stanchion,NA,0,4928,NA,Study,Cue
1,female,18,Recognition,Recognition,12,subduce,NA,0,2976,NA,Study,Cue
1,female,18,Recognition,Recognition,13,unemotional,NA,0,2386,NA,First Word,Target
1,female,18,Recognition,Recognition,14,undeveloped,NA,1,2507,NA,Foil,Target
1,female,18,Recognition,Recognition,15,rebarbative,NA,1,2354,NA,Meaning,Cue
1,female,18,Recognition,Recognition,16,stolid,NA,1,2412,NA,First Word,Cue
1,female,18,Recognition,Recognition,17,roil,NA,1,1400,NA,Study,Cue
1,female,18,Recognition,Recognition,18,descry,NA,1,1758,NA,First Word,Cue
1,female,18,Recognition,Recognition,19,tiredness,NA,1,3200,NA,Meaning,Target
1,female,18,Recognition,Recognition,20,tyro,NA,1,1878,NA,First Word,Cue
1,female,18,Recognition,Recognition,21,instil,NA,1,4645,NA,Study,Target
1,female,18,Recognition,Recognition,22,abjure,NA,1,2138,NA,First Word,Cue
1,female,18,Recognition,Recognition,23,opprobrium,NA,1,2373,NA,Meaning,Cue
1,female,18,Recognition,Recognition,24,resistant,NA,1,1944,NA,Meaning,Target
1,female,18,Recognition,Recognition,25,spoliate,NA,1,2685,NA,First Word,Cue
1,female,18,Recognition,Recognition,26,fussy,NA,0,2607,NA,First Word,Target
1,female,18,Recognition,Recognition,27,billow,NA,0,2197,NA,Study,Target
1,female,18,Recognition,Recognition,28,slake,NA,1,1816,NA,First Word,Cue
1,female,18,Recognition,Recognition,29,shining,NA,1,1324,NA,Study,Target
1,female,18,Recognition,Recognition,30,clear,NA,0,3720,NA,Study,Target
1,female,18,Recognition,Recognition,31,sodality,NA,1,2397,NA,Meaning,Cue
1,female,18,Recognition,Recognition,32,unmanageable,NA,1,3338,NA,Study,Target
1,female,18,Recognition,Recognition,33,cheat,NA,1,2129,NA,Foil,Target
1,female,18,Recognition,Recognition,34,compendious,NA,0,4373,NA,First Word,Cue
1,female,18,Recognition,Recognition,35,frond,NA,1,3213,NA,Study,Cue
1,female,18,Recognition,Recognition,36,impede,NA,1,2927,NA,Meaning,Target
1,female,18,Recognition,Recognition,37,branch,NA,1,2163,NA,Meaning,Target
1,female,18,Recognition,Recognition,38,minatory,NA,1,2674,NA,Foil,Cue
1,female,18,Recognition,Recognition,39,perpend,NA,1,1972,NA,Meaning,Cue
1,female,18,Recognition,Recognition,40,recondite,NA,1,3397,NA,Study,Cue
1,female,18,Recognition,Recognition,41,picaroon,NA,1,2548,NA,Foil,Cue
1,female,18,Recognition,Recognition,42,succursal,NA,0,2160,NA,Meaning,Cue
1,female,18,Recognition,Recognition,43,surrendering,NA,0,2432,NA,First Word,Target
1,female,18,Recognition,Recognition,44,hidden,NA,0,2974,NA,Study,Target
1,female,18,Recognition,Recognition,45,tribute,NA,0,2286,NA,First Word,Target
1,female,18,Recognition,Recognition,46,inculcate,NA,1,2463,NA,Study,Cue
1,female,18,Recognition,Recognition,47,inchoate,NA,1,3243,NA,Foil,Cue
1,female,18,Recognition,Recognition,48,interstice,NA,1,3248,NA,Foil,Cue
1,female,18,Recognition,Recognition,49,trammel,NA,1,2274,NA,Meaning,Cue
1,female,18,Recognition,Recognition,50,blandish,NA,1,2780,NA,Meaning,Cue
1,female,18,Recognition,Recognition,51,subvention,NA,1,3218,NA,Study,Cue
1,female,18,Recognition,Recognition,52,esculent,NA,1,2542,NA,Meaning,Cue
1,female,18,Recognition,Recognition,53,threnody,NA,1,2651,NA,First Word,Cue
1,female,18,Recognition,Recognition,54,objurgate,NA,0,4359,NA,Foil,Cue
1,female,18,Recognition,Recognition,55,fellowship,NA,1,1253,NA,Meaning,Target
1,female,18,Recognition,Recognition,56,reject,NA,0,2487,NA,First Word,Target
1,female,18,Recognition,Recognition,57,pompous,NA,1,1703,NA,Meaning,Target
1,female,18,Recognition,Recognition,58,arrogance,NA,0,1763,NA,Foil,Target
1,female,18,Recognition,Recognition,59,leaf,NA,1,1135,NA,Study,Target
1,female,18,Recognition,Recognition,60,overcome,NA,1,2433,NA,Meaning,Target
1,female,18,Recognition,Recognition,61,crafty,NA,1,2515,NA,Foil,Target
1,female,18,Recognition,Recognition,62,rebellious,NA,1,2340,NA,Foil,Target
1,female,18,Recognition,Recognition,63,valinch,NA,1,1801,NA,Foil,Cue
1,female,18,Recognition,Recognition,64,repellent,NA,1,2628,NA,Meaning,Target
1,female,18,Recognition,Recognition,65,spoffish,NA,1,1152,NA,First Word,Cue
1,female,18,Recognition,Recognition,66,lassitude,NA,1,1488,NA,Meaning,Cue
1,female,18,Recognition,Recognition,67,edible,NA,1,1845,NA,Meaning,Target
1,female,18,Recognition,Recognition,68,subluxation,NA,1,1556,NA,Meaning,Cue
1,female,18,Recognition,Recognition,69,recreant,NA,1,2084,NA,First Word,Cue
1,female,18,Recognition,Recognition,70,hostile,NA,0,3120,NA,Meaning,Target
1,female,18,Recognition,Recognition,71,beginner,NA,1,2334,NA,First Word,Target
1,female,18,Recognition,Recognition,72,dislocation,NA,1,1601,NA,Meaning,Target
1,female,18,Recognition,Recognition,73,contumacious,NA,1,3071,NA,Foil,Cue
1,female,18,Recognition,Recognition,74,spare,NA,1,1890,NA,Foil,Target
1,female,18,Recognition,Recognition,75,immure,NA,0,2694,NA,Study,Cue
1,female,18,Recognition,Recognition,76,orotund,NA,1,2063,NA,Meaning,Cue
1,female,18,Recognition,Recognition,77,noisy,NA,1,2333,NA,Foil,Target
1,female,18,Recognition,Recognition,78,imprison,NA,0,1767,NA,Study,Target
1,female,18,Recognition,Recognition,79,rebuke,NA,1,1879,NA,Foil,Target
1,female,18,Recognition,Recognition,80,withdraw,NA,0,2115,NA,Study,Target
1,female,18,Recognition,Recognition,81,curse,NA,1,2256,NA,Meaning,Target
1,female,18,Recognition,Recognition,82,disgrace,NA,0,2125,NA,Meaning,Target
1,female,18,Recognition,Recognition,83,maunder,NA,1,2481,NA,First Word,Cue
1,female,18,Recognition,Recognition,84,flatter,NA,1,1414,NA,Meaning,Target
1,female,18,Recognition,Recognition,85,tube,NA,1,2263,NA,Foil,Target
1,female,18,Recognition,Recognition,86,overthrow,NA,1,1338,NA,Foil,Target
1,female,18,Recognition,Recognition,87,stentorian,NA,1,2130,NA,Study,Cue
1,female,18,Recognition,Recognition,88,support,NA,0,2005,NA,Study,Target
1,female,18,Recognition,Recognition,89,plunder,NA,0,2552,NA,First Word,Target
1,female,18,Recognition,Recognition,90,sententious,NA,0,4357,NA,First Word,Cue
1,female,18,Recognition,Recognition,91,inimical,NA,0,2699,NA,Meaning,Cue
1,female,18,Recognition,Recognition,92,embezzle,NA,1,1755,NA,Study,Target
1,female,18,Recognition,Recognition,93,loud,NA,0,2132,NA,Study,Target
1,female,18,Recognition,Recognition,94,mendicant,NA,0,4132,NA,First Word,Cue
1,female,18,Recognition,Recognition,95,burgeon,NA,1,1834,NA,Foil,Cue
1,female,18,Recognition,Recognition,96,peculate,NA,0,2073,NA,Study,Cue
1,female,18,Recognition,Recognition,97,smart,NA,0,3949,NA,Study,Target
1,female,18,Recognition,Recognition,98,intractable,NA,1,2351,NA,Study,Cue
1,female,18,Recognition,Recognition,99,unyielding,NA,1,2053,NA,Foil,Target
1,female,18,Recognition,Recognition,100,pertinacious,NA,0,2571,NA,Foil,Cue
1,female,18,Recognition,Recognition,101,flourish,NA,1,2170,NA,Foil,Target
1,female,18,Recognition,Recognition,102,immolate,NA,1,1844,NA,Foil,Cue
1,female,18,Recognition,Recognition,103,encomium,NA,0,1935,NA,First Word,Cue
1,female,18,Recognition,Recognition,104,grant,NA,0,2474,NA,Study,Target
1,female,18,Recognition,Recognition,105,space,NA,1,2422,NA,Foil,Target
1,female,18,Recognition,Recognition,106,limpid,NA,1,1715,NA,Study,Cue
1,female,18,Recognition,Recognition,107,roke,NA,1,3065,NA,Study,Cue
1,female,18,Recognition,Recognition,108,imprecation,NA,0,1867,NA,Meaning,Cue
1,female,18,Recognition,Recognition,109,everse,NA,1,2856,NA,Foil,Cue
1,female,18,Recognition,Recognition,110,lament,NA,1,2238,NA,First Word,Target
1,female,18,Recognition,Recognition,111,subsecive,NA,1,2712,NA,Foil,Cue
1,female,18,Recognition,Recognition,112,plangent,NA,1,1899,NA,Foil,Cue
1,female,18,Recognition,Recognition,113,gossamer,NA,1,1969,NA,First Word,Cue
1,female,18,Recognition,Recognition,114,beggar,NA,1,1273,NA,First Word,Target
1,female,18,Recognition,Recognition,115,superate,NA,1,1395,NA,Meaning,Cue
1,female,18,Recognition,Recognition,116,sprauncy,NA,1,1865,NA,Study,Cue
1,female,18,Recognition,Recognition,117,concise,NA,1,2568,NA,First Word,Target
1,female,18,Recognition,Recognition,118,subdolous,NA,1,2551,NA,Foil,Cue
1,female,18,Recognition,Recognition,119,ramble,NA,1,1450,NA,First Word,Target
1,female,18,Recognition,Recognition,120,sacrifice,NA,0,2354,NA,Foil,Target
10,female,50,Recall,PracticeFirstWord,1,leggiadrous,elegant,0,5986,drunk,NA,NA
10,female,50,Recall,PracticeFirstWord,2,gadoid,fish,0,8789,throat,NA,NA
10,female,50,Recall,PracticeFirstWord,3,droze,drip,0,5297,horses,NA,NA
10,female,50,Recall,First Word,1,recreant,surrendering,0,8446,idle,NA,NA
10,female,50,Recall,First Word,2,gossamer,flimsy,0,7348,transluscent,NA,NA
10,female,50,Recall,First Word,3,immolate,sacrifice,0,5806,copy,NA,NA
10,female,50,Recall,First Word,4,subduce,withdraw,0,8076,decifer,NA,NA
10,female,50,Recall,First Word,5,recondite,hidden,0,0,,NA,NA
10,female,50,Recall,First Word,6,inchoate,undeveloped,0,6050,breathe,NA,NA
10,female,50,Recall,First Word,7,blandish,flatter,0,9431,tasteless,NA,NA
10,female,50,Recall,First Word,8,encomium,tribute,0,9899,encounte,NA,NA
10,female,50,Recall,First Word,9,stentorian,loud,0,6404,heart,NA,NA
10,female,50,Recall,First Word,10,opprobrium,disgrace,0,8260,medical,NA,NA
10,female,50,Recall,First Word,11,lassitude,tiredness,0,8566,noenergy,NA,NA
10,female,50,Recall,First Word,12,frond,leaf,1,5481,leaf,NA,NA
10,female,50,Recall,First Word,13,valinch,tube,0,4087,cloth,NA,NA
10,female,50,Recall,First Word,14,subdolous,crafty,0,5984,disgraceful,NA,NA
10,female,50,Recall,First Word,15,threnody,lament,0,6745,remedy,NA,NA
10,female,50,Recall,PracticeStudy,1,desman,mole,NA,NA,NA,NA,NA
10,female,50,Recall,PracticeStudy,2,tantivy,quick,NA,NA,NA,NA,NA
10,female,50,Recall,PracticeStudy,3,carcanet,necklace,NA,NA,NA,NA,NA
10,female,50,Recall,Study,1,inculcate,instil,NA,NA,NA,NA,NA
10,female,50,Recall,Study,2,objurgate,rebuke,NA,NA,NA,NA,NA
10,female,50,Recall,Study,3,picaroon,cheat,NA,NA,NA,NA,NA
10,female,50,Recall,Study,4,rebarbative,repellent,NA,NA,NA,NA,NA
10,female,50,Recall,Study,5,succursal,branch,NA,NA,NA,NA,NA
10,female,50,Recall,Study,6,sententious,moralising,NA,NA,NA,NA,NA
10,female,50,Recall,Study,7,surquedry,arrogance,NA,NA,NA,NA,NA
10,female,50,Recall,Study,8,abjure,reject,NA,NA,NA,NA,NA
10,female,50,Recall,Study,9,everse,overthrow,NA,NA,NA,NA,NA
10,female,50,Recall,Study,10,limpid,clear,NA,NA,NA,NA,NA
10,female,50,Recall,Study,11,trammel,impede,NA,NA,NA,NA,NA
10,female,50,Recall,Study,12,superate,overcome,NA,NA,NA,NA,NA
10,female,50,Recall,Study,13,roke,mist,NA,NA,NA,NA,NA
10,female,50,Recall,Study,14,inimical,hostile,NA,NA,NA,NA,NA
10,female,50,Recall,Study,15,subluxation,dislocation,NA,NA,NA,NA,NA
10,female,50,Recall,PracticeMeaning,1,infandous,horrible,0,6401,famous,NA,NA
10,female,50,Recall,PracticeMeaning,2,zamindar,landlord,0,7492,calendar,NA,NA
10,female,50,Recall,PracticeMeaning,3,achene,fruit,0,3846,ancient,NA,NA
10,female,50,Recall,Meaning,1,perpend,consider,0,5727,overturn,NA,NA
10,female,50,Recall,Meaning,2,peculate,embezzle,0,5996,mix,NA,NA
10,female,50,Recall,Meaning,3,plangent,noisy,0,6192,torrid,NA,NA
10,female,50,Recall,Meaning,4,roil,billow,0,3849,boil,NA,NA
10,female,50,Recall,Meaning,5,esculent,edible,0,7243,succulent,NA,NA
10,female,50,Recall,Meaning,6,subvention,grant,0,4969,undo,NA,NA
10,female,50,Recall,Meaning,7,slake,quench,0,4031,insult,NA,NA
10,female,50,Recall,Meaning,8,effulgent,shining,0,7164,exuberant,NA,NA
10,female,50,Recall,Meaning,9,burgeon,flourish,0,9742,increa,NA,NA
10,female,50,Recall,Meaning,10,sprauncy,smart,0,4470,small,NA,NA
10,female,50,Recall,Meaning,11,imprecation,curse,0,0,,NA,NA
10,female,50,Recall,Meaning,12,stanchion,support,0,4120,stone,NA,NA
10,female,50,Recall,Meaning,13,maunder,ramble,0,7573,sad,NA,NA
10,female,50,Recall,Meaning,14,minatory,threatening,0,6254,smallest,NA,NA
10,female,50,Recall,Meaning,15,intractable,unmanageable,0,8634,,NA,NA
10,female,50,Recall,RecallPractice,1,zamindar,landlord,0,5908,calm,meaning,Cue
10,female,50,Recall,RecallPractice,2,tantivy,quick,0,12557,generous,Study,Cue
10,female,50,Recall,RecallPractice,3,carcanet,necklace,0,13664,cannot,Study,Cue
10,female,50,Recall,Recall,1,rebarbative,repellent,0,5649,combative,Study,Cue
10,female,50,Recall,Recall,2,roil,billow,0,12166,boil,Meaning,Cue
10,female,50,Recall,Recall,3,immolate,sacrifice,0,3712,give,First Word,Cue
10,female,50,Recall,Recall,4,inculcate,instil,0,11955,induce,Study,Cue
10,female,50,Recall,Recall,5,intractable,unmanageable,1,7388,unmanageable,Meaning,Cue
10,female,50,Recall,Recall,6,succursal,branch,0,6209,edible,Study,Cue
10,female,50,Recall,Recall,7,everse,overthrow,0,3549,undo,Study,Cue
10,female,50,Recall,Recall,8,gossamer,flimsy,1,3596,flimsy,First Word,Cue
10,female,50,Recall,Recall,9,spoliate,plunder,0,8482,explain,Foil,Cue
10,female,50,Recall,Recall,10,subduce,withdraw,0,10609,earlier,First Word,Cue
10,female,50,Recall,Recall,11,blandish,flatter,0,8973,fruit,First Word,Cue
10,female,50,Recall,Recall,12,superate,overcome,0,9216,fruit,Study,Cue
10,female,50,Recall,Recall,13,pertinacious,unyielding,0,13907,give,Foil,Cue
10,female,50,Recall,Recall,14,peculate,embezzle,0,24133,unknown,Meaning,Cue
10,female,50,Recall,Recall,15,descry,discover,0,10412,slander,Foil,Cue
10,female,50,Recall,Recall,16,opprobrium,disgrace,0,8408,landlord,First Word,Cue
10,female,50,Recall,Recall,17,recondite,hidden,0,8615,give,First Word,Cue
10,female,50,Recall,Recall,18,threnody,lament,0,12463,threaten,First Word,Cue
10,female,50,Recall,Recall,19,sprauncy,smart,0,3871,quick,Meaning,Cue
10,female,50,Recall,Recall,20,subsecive,spare,0,17457,obsess,Foil,Cue
10,female,50,Recall,Recall,21,encomium,tribute,0,10168,bestow,First Word,Cue
10,female,50,Recall,Recall,22,subdolous,crafty,0,5593,slow,First Word,Cue
10,female,50,Recall,Recall,23,maunder,ramble,1,5951,ramble,Meaning,Cue
10,female,50,Recall,Recall,24,interstice,space,0,11288,between,Foil,Cue
10,female,50,Recall,Recall,25,imprecation,curse,0,10064,impeach,Meaning,Cue
10,female,50,Recall,Recall,26,frond,leaf,1,5833,leaf,First Word,Cue
10,female,50,Recall,Recall,27,limpid,clear,1,4025,clear,Study,Cue
10,female,50,Recall,Recall,28,renitent,resistant,0,8087,reserved,Foil,Cue
10,female,50,Recall,Recall,29,tyro,beginner,0,9893,movement,Foil,Cue
10,female,50,Recall,Recall,30,recreant,surrendering,0,11223,untrustworthy,First Word,Cue
10,female,50,Recall,Recall,31,plangent,noisy,0,11041,reward,Meaning,Cue
10,female,50,Recall,Recall,32,inimical,hostile,0,8995,definitive,Study,Cue
10,female,50,Recall,Recall,33,slake,quench,0,8856,sheaf,Meaning,Cue
10,female,50,Recall,Recall,34,effulgent,shining,0,7715,generous,Meaning,Cue
10,female,50,Recall,Recall,35,lassitude,tiredness,0,9565,tired,First Word,Cue
10,female,50,Recall,Recall,36,burgeon,flourish,0,6792,growth,Meaning,Cue
10,female,50,Recall,Recall,37,valinch,tube,0,8695,hang,First Word,Cue
10,female,50,Recall,Recall,38,mendicant,beggar,0,13315,joyful,Foil,Cue
10,female,50,Recall,Recall,39,picaroon,cheat,0,5962,gambler,Study,Cue
10,female,50,Recall,Recall,40,subvention,grant,0,7104,undo,Meaning,Cue
10,female,50,Recall,Recall,41,esculent,edible,0,4338,food,Meaning,Cue
10,female,50,Recall,Recall,42,subluxation,dislocation,0,21078,exchange,Study,Cue
10,female,50,Recall,Recall,43,surquedry,arrogance,0,7013,bestow,Study,Cue
10,female,50,Recall,Recall,44,minatory,threatening,0,7682,small,Meaning,Cue
