"Subject","Experiment","Group","Age","Gender","Running","Condition","Cycle","Sample","Cue","Target","Acc","Resp","RT"
1,"TPL2","1","19","male","PracticeStudy",NA,"1","1","carcanet","necklace",NA,NA,NA
1,"TPL2","1","19","male","PracticeStudy",NA,"1","2","achene","fruit",NA,NA,NA
1,"TPL2","1","19","male","PracticeStudy",NA,"1","3","desman","mole",NA,NA,NA
1,"TPL2","1","19","male","PracticeRecall","Study","1","1","desman","mole","1","mole","4797"
1,"TPL2","1","19","male","PracticeRecall","Study","1","2","achene","fruit","1","fruit","2941"
1,"TPL2","1","19","male","PracticeRecall","Study","1","3","carcanet","necklace","1","necklace","2767"
1,"TPL2","1","19","male","Study",NA,"1","1","roke","mist",NA,NA,NA
1,"TPL2","1","19","male","Study",NA,"1","2","orotund","pompous",NA,NA,NA
1,"TPL2","1","19","male","Study",NA,"1","3","plangent","noisy",NA,NA,NA
1,"TPL2","1","19","male","Study",NA,"1","4","peculate","embezzle",NA,NA,NA
1,"TPL2","1","19","male","Study",NA,"1","5","valinch","tube",NA,NA,NA
1,"TPL2","1","19","male","Study",NA,"1","6","frond","leaf",NA,NA,NA
1,"TPL2","1","19","male","Study",NA,"1","7","sprauncy","smart",NA,NA,NA
1,"TPL2","1","19","male","Study",NA,"1","8","everse","overthrow",NA,NA,NA
1,"TPL2","1","19","male","Study",NA,"1","9","roil","billow",NA,NA,NA
1,"TPL2","1","19","male","Study",NA,"1","10","blandish","flatter",NA,NA,NA
1,"TPL2","1","19","male","Study",NA,"1","11","inchoate","undeveloped",NA,NA,NA
1,"TPL2","1","19","male","Study",NA,"1","12","superate","overcome",NA,NA,NA
1,"TPL2","1","19","male","Study",NA,"1","13","subduce","withdraw",NA,NA,NA
1,"TPL2","1","19","male","Study",NA,"1","14","subluxation","dislocation",NA,NA,NA
1,"TPL2","1","19","male","Study",NA,"1","15","compendious","concise",NA,NA,NA
1,"TPL2","1","19","male","Recall","Study","1","1","blandish","flatter","1","flatter","6816"
1,"TPL2","1","19","male","Recall","Study","1","2","roke","mist","1","mist","2255"
1,"TPL2","1","19","male","Recall","Study","1","3","roil","billow","0","tube","41039"
1,"TPL2","1","19","male","Recall","Study","1","4","sprauncy","smart","0","clever","25330"
1,"TPL2","1","19","male","Recall","Study","1","5","plangent","noisy","0","lower","41771"
1,"TPL2","1","19","male","Recall","Study","1","6","frond","leaf","1","leaf","7746"
1,"TPL2","1","19","male","Recall","Study","1","7","everse","overthrow","0","withdraw","6378"
1,"TPL2","1","19","male","Recall","Study","1","8","superate","overcome","0","extend","25253"
1,"TPL2","1","19","male","Recall","Study","1","9","inchoate","undeveloped","0","uninterested","64781"
1,"TPL2","1","19","male","Recall","Study","1","10","valinch","tube","1","tube","10076"
1,"TPL2","1","19","male","Recall","Study","1","11","peculate","embezzle","0","smart","89943"
1,"TPL2","1","19","male","Recall","Study","1","12","compendious","concise","0","optimistic","37176"
1,"TPL2","1","19","male","Recall","Study","1","13","subluxation","dislocation","1","dislocation","5178"
1,"TPL2","1","19","male","Recall","Study","1","14","subduce","withdraw","0","remove","16334"
1,"TPL2","1","19","male","Recall","Study","1","15","orotund","pompous","0","bird","39579"
1,"TPL2","1","19","male","PracticeMeaning",NA,"1","1","leggiadrous","elegant","0","","0"
1,"TPL2","1","19","male","PracticeMeaning",NA,"1","2","gadoid","fish","0","angry","4125"
1,"TPL2","1","19","male","PracticeMeaning",NA,"1","3","tantivy","quick","0","hungry","3598"
1,"TPL2","1","19","male","Meaning",NA,"1","1","effulgent","shining","0","cumbersome","4691"
1,"TPL2","1","19","male","Meaning",NA,"1","2","lassitude","tiredness","0","height","5960"
1,"TPL2","1","19","male","Meaning",NA,"1","3","limpid","clear","0","seacreature","7379"
1,"TPL2","1","19","male","Meaning",NA,"1","4","maunder","ramble","0","lost","2529"
1,"TPL2","1","19","male","Meaning",NA,"1","5","burgeon","flourish","0","hurt","5784"
1,"TPL2","1","19","male","Meaning",NA,"1","6","objurgate","rebuke","0","intrude","6234"
1,"TPL2","1","19","male","Meaning",NA,"1","7","spoliate","plunder","0","grow","5745"
1,"TPL2","1","19","male","Meaning",NA,"1","8","esculent","edible","0","rise","3491"
1,"TPL2","1","19","male","Meaning",NA,"1","9","gossamer","flimsy","0","tired","4188"
1,"TPL2","1","19","male","Meaning",NA,"1","10","picaroon","cheat","0","food","5149"
1,"TPL2","1","19","male","Meaning",NA,"1","11","recreant","surrendering","0","maker","3676"
1,"TPL2","1","19","male","Meaning",NA,"1","12","encomium","tribute","0","avar","9779"
1,"TPL2","1","19","male","Meaning",NA,"1","13","contumacious","rebellious","0","annoying","6751"
1,"TPL2","1","19","male","Meaning",NA,"1","14","spoffish","fussy","0","posh","2827"
1,"TPL2","1","19","male","Meaning",NA,"1","15","interstice","space","0","cut","6249"
1,"TPL2","1","19","male","Recall","Meaning","2","16","objurgate","rebuke","0","cheat","20994"
1,"TPL2","1","19","male","Recall","Meaning","2","17","picaroon","cheat","0","cheater","5297"
1,"TPL2","1","19","male","Recall","Meaning","2","18","spoliate","plunder","0","split","17603"
1,"TPL2","1","19","male","Recall","Meaning","2","19","esculent","edible","0","tasty","20600"
1,"TPL2","1","19","male","Recall","Meaning","2","20","contumacious","rebellious","0","rude","31734"
1,"TPL2","1","19","male","Recall","Meaning","2","21","encomium","tribute","0","space","16489"
1,"TPL2","1","19","male","Recall","Meaning","2","22","recreant","surrendering","0","fun","14151"
1,"TPL2","1","19","male","Recall","Meaning","2","23","maunder","ramble","0","wonder","13669"
1,"TPL2","1","19","male","Recall","Meaning","2","24","interstice","space","1","space","3235"
1,"TPL2","1","19","male","Recall","Meaning","2","25","lassitude","tiredness","0","funny","7460"
1,"TPL2","1","19","male","Recall","Meaning","2","26","effulgent","shining","0","light","14357"
1,"TPL2","1","19","male","Recall","Meaning","2","27","gossamer","flimsy","0","fussy","5562"
1,"TPL2","1","19","male","Recall","Meaning","2","28","burgeon","flourish","0","dark","11813"
1,"TPL2","1","19","male","Recall","Meaning","2","29","limpid","clear","0","shy","13043"
1,"TPL2","1","19","male","Recall","Meaning","2","30","spoffish","fussy","1","fussy","4450"
1,"TPL2","1","19","male","PracticeFirstWord",NA,"1","1","zamindar","landlord","0","cat","3208"
1,"TPL2","1","19","male","PracticeFirstWord",NA,"1","2","droze","drip","0","sleep","3210"
1,"TPL2","1","19","male","PracticeFirstWord",NA,"1","3","infandous","horrible","0","scary","4310"
1,"TPL2","1","19","male","First Word",NA,"1","1","descry","discover","0","scary","3509"
1,"TPL2","1","19","male","First Word",NA,"1","2","slake","quench","0","snake","2065"
1,"TPL2","1","19","male","First Word",NA,"1","3","succursal","branch","0","curse","2390"
1,"TPL2","1","19","male","First Word",NA,"1","4","minatory","threatening","0","small","5552"
1,"TPL2","1","19","male","First Word",NA,"1","5","subsecive","spare","0","cant","7629"
1,"TPL2","1","19","male","First Word",NA,"1","6","inimical","hostile","0","small","7212"
1,"TPL2","1","19","male","First Word",NA,"1","7","subvention","grant","0","ventila","9876"
1,"TPL2","1","19","male","First Word",NA,"1","8","imprecation","curse","0","threat","6260"
1,"TPL2","1","19","male","First Word",NA,"1","9","stentorian","loud","0","politician","4089"
