Experiment,Group,Age,Gender,Running,Condition,Cycle,Sample,Cue,Target,Acc,Resp,RT
TPL2,2,21,female,Study,none,1,1,blandish,flatter,NA,NA,NA
TPL2,2,21,female,Study,none,1,2,inchoate,undeveloped,NA,NA,NA
TPL2,2,21,female,Study,none,1,3,immure,imprison,NA,NA,NA
TPL2,2,21,female,Study,none,1,4,picaroon,cheat,NA,NA,NA
TPL2,2,21,female,Study,none,1,5,limpid,clear,NA,NA,NA
TPL2,2,21,female,Study,none,1,6,imprecation,curse,NA,NA,NA
TPL2,2,21,female,Study,none,1,7,subsecive,spare,NA,NA,NA
TPL2,2,21,female,Study,none,1,8,frond,leaf,NA,NA,NA
TPL2,2,21,female,Study,none,1,9,subluxation,dislocation,NA,NA,NA
TPL2,2,21,female,Study,none,1,10,subvention,grant,NA,NA,NA
TPL2,2,21,female,Study,none,1,11,spoliate,plunder,NA,NA,NA
TPL2,2,21,female,Study,none,1,12,plangent,noisy,NA,NA,NA
TPL2,2,21,female,Study,none,1,13,superate,overcome,NA,NA,NA
TPL2,2,21,female,Study,none,1,14,peculate,embezzle,NA,NA,NA
TPL2,2,21,female,Study,none,1,15,gossamer,flimsy,NA,NA,NA
TPL2,2,21,female,Recall,Study,1,1,frond,leaf,1,leaf,9651
TPL2,2,21,female,Recall,Study,1,2,inchoate,undeveloped,0,dislocate,32625
TPL2,2,21,female,Recall,Study,1,3,limpid,clear,0,sphere,99599
TPL2,2,21,female,Recall,Study,1,4,peculate,embezzle,0,noisy,88369
TPL2,2,21,female,Recall,Study,1,5,plangent,noisy,0,tidy,65471
TPL2,2,21,female,Recall,Study,1,6,subvention,grant,0,dislocate,78707
TPL2,2,21,female,Recall,Study,1,7,blandish,flatter,0,change,58245
TPL2,2,21,female,Recall,Study,1,8,superate,overcome,0,nice,19003
TPL2,2,21,female,Recall,Study,1,9,picaroon,cheat,0,choice,7284
TPL2,2,21,female,Recall,Study,1,10,imprecation,curse,0,different,60715
TPL2,2,21,female,Recall,Study,1,11,subsecive,spare,0,other,47113
TPL2,2,21,female,Recall,Study,1,12,spoliate,plunder,0,spoil,63477
TPL2,2,21,female,Recall,Study,1,13,gossamer,flimsy,0,fizzy,17237
TPL2,2,21,female,Recall,Study,1,14,immure,imprison,0,close,62749
TPL2,2,21,female,Recall,Study,1,15,subluxation,dislocation,0,dislocate,16838
TPL2,2,21,female,Meaning,none,1,1,subduce,withdraw,0,missuse,5517
TPL2,2,21,female,Meaning,none,1,2,interstice,space,0,hars,6673
TPL2,2,21,female,Meaning,none,1,3,orotund,pompous,0,round,6537
TPL2,2,21,female,Meaning,none,1,4,recreant,surrendering,0,new,5731
TPL2,2,21,female,Meaning,none,1,5,everse,overthrow,0,grow,4684
TPL2,2,21,female,Meaning,none,1,6,encomium,tribute,0,large,6686
TPL2,2,21,female,Meaning,none,1,7,objurgate,rebuke,0,disagree,6106
TPL2,2,21,female,Meaning,none,1,8,burgeon,flourish,0,dungeon,5175
TPL2,2,21,female,Meaning,none,1,9,descry,discover,0,decent,5879
TPL2,2,21,female,Meaning,none,1,10,esculent,edible,0,high,5402
TPL2,2,21,female,Meaning,none,1,11,inculcate,instil,0,good,6821
TPL2,2,21,female,Meaning,none,1,12,lassitude,tiredness,0,low,6107
TPL2,2,21,female,Meaning,none,1,13,succursal,branch,0,submissive,8105
TPL2,2,21,female,Meaning,none,1,14,contumacious,rebellious,0,numerical,7345
TPL2,2,21,female,Meaning,none,1,15,stanchion,support,0,pure,6878
TPL2,2,21,female,Recall,Meaning,3,31,lassitude,tiredness,0,edible,19132
TPL2,2,21,female,Recall,Meaning,3,32,esculent,edible,1,edible,14314
TPL2,2,21,female,Recall,Meaning,3,33,succursal,branch,0,overthrow,8902
TPL2,2,21,female,Recall,Meaning,3,34,objurgate,rebuke,0,overthrow,20174
TPL2,2,21,female,Recall,Meaning,3,35,contumacious,rebellious,0,fuzzy,59703
TPL2,2,21,female,Recall,Meaning,3,36,burgeon,flourish,0,nice,56807
TPL2,2,21,female,Recall,Meaning,3,37,subduce,withdraw,0,disagree,11492
TPL2,2,21,female,Recall,Meaning,3,38,descry,discover,0,describe,21793
TPL2,2,21,female,Recall,Meaning,3,39,stanchion,support,0,high,27036
TPL2,2,21,female,Recall,Meaning,3,40,encomium,tribute,0,low,10826
TPL2,2,21,female,Recall,Meaning,3,41,orotund,pompous,0,sphere,7075
TPL2,2,21,female,Recall,Meaning,3,42,inculcate,instil,0,overthrow,23756
TPL2,2,21,female,Recall,Meaning,3,43,everse,overthrow,0,loud,11059
TPL2,2,21,female,Recall,Meaning,3,44,recreant,surrendering,0,new,4595
TPL2,2,21,female,Recall,Meaning,3,45,interstice,space,0,grand,23326
