Sex,Age,Group,Running,Sample,Cue,Target,Acc,RT,Resp,Condition
male,27,Recall,Meaning,1,immure,imprison,0,2503,old,none
male,27,Recall,Meaning,2,spoffish,fussy,0,3296,silly,none
male,27,Recall,Meaning,3,subvention,grant,0,8861,silly,none
male,27,Recall,Meaning,4,threnody,lament,0,3040,theory,none
male,27,Recall,Meaning,5,limpid,clear,0,3215,limp,none
male,27,Recall,Meaning,6,plangent,noisy,0,5876,old,none
male,27,Recall,Meaning,7,immolate,sacrifice,0,6459,destory,none
male,27,Recall,Meaning,8,orotund,pompous,0,2735,fat,none
male,27,Recall,Meaning,9,subdolous,crafty,0,9894,kn,none
male,27,Recall,Meaning,10,intractable,unmanageable,0,9840,exten,none
male,27,Recall,Meaning,11,renitent,resistant,0,9878,d,none
male,27,Recall,Meaning,12,stanchion,support,0,5282,mansion,none
male,27,Recall,Meaning,13,inculcate,instil,0,7276,do,none
male,27,Recall,Meaning,14,gossamer,flimsy,0,4923,gossip,none
male,27,Recall,Meaning,15,mendicant,beggar,0,4904,cant,none
male,27,Recall,Study,1,objurgate,rebuke,NA,NA,NA,none
male,27,Recall,Study,2,maunder,ramble,NA,NA,NA,none
male,27,Recall,Study,3,trammel,impede,NA,NA,NA,none
male,27,Recall,Study,4,spoliate,plunder,NA,NA,NA,none
male,27,Recall,Study,5,interstice,space,NA,NA,NA,none
male,27,Recall,Study,6,burgeon,flourish,NA,NA,NA,none
male,27,Recall,Study,7,sodality,fellowship,NA,NA,NA,none
male,27,Recall,Study,8,tyro,beginner,NA,NA,NA,none
male,27,Recall,Study,9,peculate,embezzle,NA,NA,NA,none
male,27,Recall,Study,10,contumacious,rebellious,NA,NA,NA,none
male,27,Recall,Study,11,frond,leaf,NA,NA,NA,none
male,27,Recall,Study,12,imprecation,curse,NA,NA,NA,none
male,27,Recall,Study,13,perpend,consider,NA,NA,NA,none
male,27,Recall,Study,14,valinch,tube,NA,NA,NA,none
male,27,Recall,Study,15,opprobrium,disgrace,NA,NA,NA,none
male,27,Recall,Recall,1,maunder,ramble,0,10785,dontknow,Study
male,27,Recall,Recall,2,orotund,pompous,0,5207,fussy,Meaning
male,27,Recall,Recall,3,peculate,embezzle,0,15708,ignorant,Study
male,27,Recall,Recall,4,burgeon,flourish,0,12851,IDONTKNOW,Study
male,27,Recall,Recall,6,sodality,fellowship,0,7595,notaclue,Study
male,27,Recall,Recall,7,spoffish,fussy,1,3998,fussy,Meaning
male,27,Recall,Recall,10,tyro,beginner,0,6208,nomemory,Study
male,27,Recall,Recall,11,subdolous,crafty,0,28132,Englishrareword,Meaning
male,27,Recall,Recall,12,interstice,space,0,11659,jumping,Study
male,27,Recall,Recall,13,inculcate,instil,0,8831,rubble,Meaning
male,27,Recall,Recall,14,mendicant,beggar,0,5334,medical,Meaning
male,27,Recall,Recall,18,plangent,noisy,0,3694,angry,Meaning
male,27,Recall,Recall,21,stanchion,support,1,12423,support,Meaning
male,27,Recall,Recall,29,immolate,sacrifice,0,4213,copy,Meaning
male,27,Recall,Recall,31,limpid,clear,0,9589,flasid,Meaning
male,27,Recall,Recall,32,contumacious,rebellious,0,6770,contagious,Study
male,27,Recall,Recall,33,imprecation,curse,0,7210,imperial,Study
male,27,Recall,Recall,36,subvention,grant,0,5885,intervention,Meaning
male,27,Recall,Recall,39,immure,imprison,0,4843,demure,Meaning
male,27,Recall,Recall,40,frond,leaf,0,5283,pond,Study
male,27,Recall,Recall,41,valinch,tube,0,5860,vanish,Study
male,27,Recall,Recall,44,spoliate,plunder,0,8479,spooky,Study
male,27,Recall,Recall,49,trammel,impede,0,2862,tunner,Study
male,27,Recall,Recall,51,threnody,lament,0,5421,theory,Meaning
male,27,Recall,Recall,53,gossamer,flimsy,0,4014,gossip,Meaning
male,27,Recall,Recall,54,intractable,unmanageable,1,7751,unmanageable,Meaning
male,27,Recall,Recall,57,perpend,consider,0,7470,rubble,Study
male,27,Recall,Recall,58,objurgate,rebuke,0,5100,objective,Study
male,27,Recall,Recall,59,opprobrium,disgrace,0,10169,theater,Study
male,27,Recall,Recall,60,renitent,resistant,0,5596,tumble,Meaning
